"-- Please select --","--Vänligen välj--"
"Allowed Currencies","Tillåtna valutor"
"Base Currency","Basvaluta"
"Continue &raquo;","Fortsätt &raquo;"
"Country","Land"
"Country and Format Type combination should be unique","Land och formattypskombination ska vara unikt"
"Currency","Valuta"
"Currency Options","Valutaval"
"Currency Setup","Valutainställningar"
"Currency Update Warnings","Varningar vid valutauppdateringar"
"Default Display Currency","Förvald visingsvaluta"
"Enabled","Aktiverad"
"Error Email Recipient","Fel E-post mottagare"
"Error Email Sender","Fel E-post avsändare"
"Error Email Template","Felmeddelande E-post-mall"
"FATAL ERROR:","DÖDLIGT FEL:"
"Frequency","Frekvens"
"Installed Currencies","Installerade valutor"
"Invalid country code: %s","Ogiltig landskod: %s"
"Invalid rates received","Ogiltiga valutakurser har mottagits"
"List of countries","Lista på länder"
"Scheduled Import Settings","Inställningar för schemalagd import"
"Select Your Currency","Välj din valuta"
"Service","Tjänst"
"Start Time","Starttid"
"State/Province","Län"
"WARNING:","VARNING:"
"Your current currency is: %s","Din nuvarande valuta är: %s"
