"* Select shipping method","* Vänligen välj leveranssätt"
"2Day","2 dagar"
"AVS Status: %s","Status för adressverifiering (AVS): %s"
"Allowed Methods","Tillåtna metoder"
"Amount: %s","Belopp: %s"
"Auto-generated from GoogleCheckout Charge","Autogenererat från GoogleCheckout-debitering"
"CC Partial: xxxx-%s","Bankkortsnummer: xxxx-%s"
"CID Status: %s","Status för kund-ID: %s"
"Cart Discount","Rabatt för varukorg"
"Checkout Image Style","Stilmall för bild för kassan"
"Continue Shopping URL","URL att skicka kund till efter kassan"
"Debug","Felsök"
"Default price:","Förvalt pris:"
"Enable","Aktivera"
"Expiration: %s","Utgångsdatum: %s"
"Express Mail","Expressbrev"
"Financial: %s -> %s","Finansiellt: %s -> %s"
"First Overnight","Prioritet över natten"
"Fulfillment: %s -> %s","Fullbordan: %s -> %s"
"Google API","API för Google"
"Google Authorization:","Google-auktorisering:"
"Google Charge:","Debitering av Google:"
"Google Checkout Shipping - Carrier Calculated","Google Checkout-leverans - transport beräknat"
"Google Checkout Shipping - Flat Rate","Google Checkout-leverans - fast fraktkostnad"
"Google Checkout Shipping - Merchant Calculated","Google Checkout-leverans - beräknat av säljare"
"Google Order Number: %s","Beställningsnummer tillhandahållet av Google: %s"
"Google Refund:","Google-återköp:"
"Google Risk Information:","Riskinformation från Google:"
"Ground","Marken"
"Home Delivery","Hemleverans"
"IP Address: %s","IP-adress: %s"
"Inches","Tum"
"Latest Charge: %s","Senaste debitering: %s"
"Latest Refund: %s","Senaste återköp: %s"
"Location","Plats"
"Merchant ID","Handlar-ID"
"Merchant Key","Nyckel för handlare"
"New Order Status","Ny orderstatus"
"Next Day Air Early AM","Nästa dag flyg tidigt på förmiddagen"
"No","Nej"
"Optional, leave empty for home page.","Valfritt, lämna tomt för webbplats"
"Parcel Post","Paketpost"
"Priority Mail","Prioriterad Mail"
"Priority Overnight","Prioritet över natten"
"Sandbox","Testmiljö"
"Standard Overnight","Standard över natten"
"Title","Titel"
"Total Charged: %s","Totalt debiterat: %s"
"Total Refunded: %s","Totalt återköp: %s"
"United Kingdom","Storbritannien"
"United States","U.S.A."
"Yes","Ja"
