"API Login ID","API inloggnings-Id"
"Accepted Currency","Accepterade valutor"
"Authorize Only","Tillåta endast"
"Authorize and Capture","Auktorisera och debitera"
"Cancel","Avbryt"
"Credit Card Types","Kreditkortstyper"
"Credit Card Verification","Kontokortsverifiering"
"Debug","Felsök"
"Email Customer","Email kund"
"Enabled","Aktiverad"
"Invalid amount for authorization.","Ogiltigt belopp för auktorisering."
"Invalid amount for capture.","Kan inte ta betalt, ogiltigt belopp."
"Invalid amount for refund.","Ogiltigt belopp för återbetalning."
"Maximum Order Total","Högsta orderbelopp"
"Merchant's Email","Merchants Email"
"Minimum Order Total","Minsta orderbelopp"
"New Order Status","Ny orderstatus"
"Payment Action","Betalningsåtgärd"
"Payment authorization error.","Ett fel uppstod vid auktorisering av betalning."
"Payment capturing error.","Betalningsfel"
"Payment from Applicable Countries","Betalning från tillämpliga länder"
"Payment from Specific Countries","Betalning från specifika länder"
"Payment refunding error.","Återbetalningsfel"
"Payment voiding error.","Betalningsfel"
"Sort Order","Sorteringsordning"
"Test Mode","Testläge"
"Title","Titel"
"Transaction Key","Transaktionsnyckel"
"authorize","auktorisera"
"authorize and capture","auktorisera och fånga"
"capture","fånga"
"failed","misslyckades"
"refund","återbetalning"
"successful","lyckades"
"void","makulera"
