"Abandoned carts","Övergivna varukorgar"
"Action","Åtgärd"
"Add to Cart","Lägg till i kundvagn"
"Add to Compare","Lägg till i jämför"
"Add to Wishlist","Lägg till i önskelista"
"Any","Valfri"
"Applied Coupon","Använda kuponger"
"Are you sure?","Är du säker?"
"Bestsellers","Bästsäljare"
"Bought from wishlists","Köpta från önskelistor"
"Carts","Varukorgar"
"Compared Products Grid Template","Jämförda produkter rutnäts-mall"
"Compared Products List Template","Jämförda produkter listmall"
"Coupons","Kuponger"
"Coupons Usage Report","Användning av rabattkoder"
"Created At","Skapades"
"Customer","Kund"
"Customer Name","Kundnamn"
"Customer Tags","Kundetiketter"
"Customers","Kunder"
"Customers Report","Kundrapporter"
"Customers Reviews","Kundrecensioner"
"Customers Tags","Kunders etiketter"
"Customers by Orders Total","Kunder efter ordersumma"
"Customers by number of orders","Kunder efter antal order"
"Customers by orders total","Kunder utifrån totalsumma"
"Customers that have wishlist: %s%","Kunder som har önskelistor: %s%"
"Dashboard","Översikt"
"Day","Dag"
"Description","Beskrivning"
"Detail","Detaljer"
"Downloads","Nerladdningar"
"Email","E-post"
"Empty Rows","Tomma rader"
"First Name","Förnamn"
"From","Från"
"General","Allmänt"
"Guest","Gäst"
"Hits","Träffar"
"IP Address","IP-adress"
"Invoiced","Fakturerad"
"Items in Cart","Artiklar i kundvagnen"
"Last Name","Efternamn"
"Last Review","Senaste Recensionen"
"Link","Länk"
"List of Products Recently Viewed by Visitor","Lista över produkter som nyligen tittats på av besökare"
"Low stock","Lågt lagersaldo"
"Month","Månad"
"Most Viewed","Mest visade"
"Name","Namn"
"New Accounts","Nya konton"
"No","Nej"
"Number Added","Antal tillagda"
"Number Fulfilled","Antal fullbordade"
"Number Of Reviews","Antal recensioner"
"Number Purchased","Antal köpta"
"Number Viewed","Antal visade"
"Number of Items","Antal olika produkter"
"Number of New Accounts","Antal nya konton"
"Number of Products to display","Antal produkter att visa"
"Number of Reviews","Antal recensioner"
"Number of Total Tags","Antal etiketter totalt"
"Number of Unique Tags","Antal unika etiketter"
"Number of Views","Antal visningar"
"Number of items bought from a wishlist: %s","Antal artiklar köpta från en önskelista: %s"
"Number of times wishlists have been shared (emailed): %s","Antal gånger som önskelistor har delats med andra (genom e-post): %s"
"Number of wishlist conversions: %s","Antal konverteringar av önskelistor: %s"
"Number of wishlist referrals: %s","Antal värvningar till önskelistor: %s"
"Number of wishlists: %s","Antal önskelistor: %s"
"Order Status","Beställningsstatus"
"Orders","Beställningar"
"Out of stock","Ej i lager"
"Poducts Report","Produktrapporter"
"Popular Tags","Populära etiketter"
"Popularity","Popularitet"
"Price","Pris"
"Product Name","Produktnamn"
"Product Reviews","Produktrecensioner"
"Product SKU","Art. nr. för produkt"
"Product Tags","Produktetiketter"
"Products","Produkter"
"Products Ordered","Beställda produkter"
"Products Report","Productrapport"
"Products Reviews","Produktrecensioner"
"Products Tags","Produktetiketter"
"Products in carts","Produkter i varukorgar"
"Purchases","Köp"
"Quantity Ordered","Antal beställda"
"Quantity of Items","Antal av varje produkt"
"Recently Compared","Senast jämförda"
"Recently Compared Products","Nyligen jämförda produkter"
"Recently Viewed","Senast visade"
"Recently Viewed Products","Nyligen visade produkter"
"Recently Viewed/Compared Products","Nyligen visade/jämförda produkter"
"Refresh Statistics","Uppdatera statistik"
"Refunds","Återbetala"
"Report","Rapport"
"Reports","Rapporter"
"Results","Resultat"
"Revenue","Intäkter"
"Review","Recension"
"Reviews","Recensioner"
"Reviews for %s","Omdömen om %s"
"Sales","Försäljning"
"Sales Report","Försäljningsrapport"
"Search Query","Sökterm"
"Search Terms","Söktermer"
"Shipping","Frakt"
"Shopping Cart","Kundvagn"
"Shopping Cart Price Rule","Prisregel för varukorg"
"Show Actual Values","Visa faktiska värden"
"Show Report","Visa rapport"
"Show for Current","Visa för nuvarande"
"Specified","Angivna"
"Stock Qty","Lagersaldo"
"Submitted In","Skickades i"
"Submitted On","Skickades den"
"Subtotal","Delsumma"
"Tag","Etikett"
"Tag ""%s"" details","Detaljer för etiketten ""%s"""
"Tag Detail","Detaljer för etikett"
"Tag Name","Etikettnamn"
"Tags submitted to %s","Etiketter skickade till %s"
"Tax","Skatt"
"Title","Titel"
"To","Till"
"Total","Summa"
"Total Tags","Etiketter totalt"
"Total invoiced","Totalt fakturerat"
"Total refunded","Återköp totalt"
"Updated At","Uppdaterades den"
"Viewed Products Grid Template","Visade produkter rutnäts-mall"
"Viewed Products List Template","Visade produkter list-mall"
"Visible In","Synlig i"
"Wishlist Report","Rapport för önskelistor"
"Wishlist vs. Regular Order","Önskelista vs. vanlig ordning"
"Wishlists","Önskelistor"
"Year","År"
"Yes","Ja"
"Your Recently Compared","Dina nyligen jämförda"
"Your Recently Viewed","Dina nyligen visade"
