"--Please Select--","--กรุณาเลือก--"
"API Login ID","รหัสเข้าสู่ระบบ API "
"Card Verification Number","รหัสยืนยันของบัตร"
"Card Verification Number Visual Reference","การอ้างอิงถึงหมายเลขยืนยันบัตรเครดิตที่มองเห็น"
"Close","ปิด"
"Credit Card Information","ข้อมูลบัตรเครดิต"
"Credit Card Number","หมายเลขบัตรเครดิต"
"Credit Card Type","ประเภทบัตรเครดิต"
"Credit Card Types","ประเภทบัตรเครดิต"
"Credit Card Verification","การตรวจสอบบัตรเครดิต"
"Enabled","เปิดใช้งาน"
"Expiration Date","วันหมดอายุ"
"Order saving error: %s","ความผิดพลาดในการคำสั่งซื้อ: %s"
"Payment Action","การดำเนินการชำระเงิน"
"Payment authorization error.","ความผิดพลาดในการอนุมัติชำระเงิน"
"Sort Order","การเรียงลำดับ"
"Test Mode","โหมดทดสอบ:"
"What is this?","นี่คืออะไร?"
