"Action","ดำเนินการ"
"Add Sitemap","เพิ่มไซต์แมป"
"Always","ทุกครั้ง"
"CMS Pages Options","ตัวเลือกหน้า CMS"
"Categories Options","ตัวเลือก ประเภท"
"Daily","ทุกวัน"
"Edit Sitemap","แก้ไข แผนผังเว็บไซต์"
"Enabled","เปิดใช้งาน"
"Error Email Recipient","ข้อผิดพลาดของผู้รับอีเมลล์"
"Error Email Sender","ข้อผิดพลาดผู้ส่งอีเมลล์"
"Error Email Template","ข้อผิดพลาดในเทมเพลตอีเมลล์"
"Filename","ชื่อไฟล์"
"Frequency","ความถี่"
"Generation Settings","ตั้งค่ารุ่น"
"Hourly","รายชั่วโมง"
"ID","ไอดี"
"Last Time Generated","ถูกสร้างล่าสุด"
"Link for Google","ลิงค์สำหรับ Google"
"Monthly","ทุกเดือน"
"Never","ไม่เคย"
"New Sitemap","แผนผังเว็บไซต์ใหม่"
"Path","ตำแหน่งไฟล์"
"Priority","ระดับความสำคัญ"
"Products Options","ตัวเลือกสินค้า"
"Sitemap generate Warnings","คำเตือนการสร้างแผนผังเว็บไซต์"
"Start Time","วันที่เริ่มต้น"
"Store View","มุมมองร้าน"
"Weekly","ทุกสัปดาห์"
"Yearly","รายปี"
