"%s and greater","%s veya daha büyük"
"<strong>%d item(s)</strong> were found using the following search criteria","Aradığınız kelime ile <strong>%d ürün</strong> bulundu"
"Advanced Search","Detaylı Arama"
"All","Tümü"
"Catalog Advanced Search","Katalogda Gelişmiş Arama"
"Catalog Search","Katalog Araması"
"Don't see what you're looking for?","Aradığınızı bulamıyor musunuz?"
"Go","Git"
"Go to Home Page","Ana Sayfasına Gidin"
"Grid","Izgara"
"Home","Ana Sayfa"
"List","Liste"
"Maximum Query Length","En fazla Arama Uzunluğu"
"Maximum Query Words Count","En fazla Arama Kelime Sayısı"
"Minimal Query Length","En kısa Arama Uzunluğu"
"Modify your search","Aramanızı düzenleyin"
"No","Hayır"
"No items were found using the following search criteria.","Arama kriterlerine uygun sonuç bulunamadı."
"Popular Search Terms","Popüler Arama Terimleri"
"Rebuild Catalog product fulltext search index","Katalog ürün arama indeksini yenile"
"Relevance","Uygunluk"
"Results","Sonuçlar"
"Search","Arama"
"Search Settings","Arama Ayarları"
"Search Terms","Arama terimleri"
"Search Type","Arama Tipi"
"Search entire store here...","Aranan kelimeyi buraya yazınız..."
"Search results for '%s'","'%s' için Arama Sonuçları"
"Search results for: '%s'","'%s' için Arama Sonuçları"
"Subscribe to Feed","Veri Akışına Abone Ol"
"There are no search terms available.","Uygun arama koşulları bulunamadı."
"Yes","Evet"
"Your search returns no results.","Arama sonucunda sonuç yok."
"up to %s","%s'e kadar"
