"-- Please Select --","-- Lütfen Seçiniz --"
"Add Block Names to Hints","İpuçlarına Kutu Adlarını da Ekle"
"Add Secret Key to URLs","URL lere Gizli Anahtar Kelime Ekle"
"Add Store Code to Urls","URL lere Mağaza Kodu Ekle"
"Admin","Yönetim"
"Admin Base URL","Yönetim Ana URL"
"Admin User Emails","Yönetici E-postaları"
"Advanced","Gelişmiş"
"Allow Countries","Ülkelere İzin Var"
"Allow Symlinks","Sembolik linklere izin ver"
"Allowed IPs (comma separated)","İzin veriler IP Adresleri (virgülle ayrılmış)"
"Anchor Text for Next","Sonraki kayıt için Bağlantı Kelimesi"
"Anchor Text for Previous","Önceki kayıt için Bağlantı Kelimesi"
"Are you sure?","Emin misiniz?"
"Auto-redirect to Base URL","Otomatik Ana Url ye yönlendir"
"Back","Geri"
"Backup Options","Yedekleme seçenekleri"
"Base JavaScript URL","Ana JavaScript Adresi"
"Base Link URL","Ana Bağlantı Adresi"
"Base Media URL","Ana Medya Dosyaları Adresi"
"Base Skin URL","Ana Tema Adresi"
"Base URL","Ana URL"
"Block with name ""%s"" already exists","""%s"" adla bir grup zaten var"
"Browser Capabilities Detection","Tarayıcı Yetenekleri Tespiti"
"CSS Settings","CSS Ayarları"
"Cache Storage Management","Ön Bellek Depolama Yönetimi"
"Can't retrieve request object","Talep nesnesi alınamıyor"
"Can't retrieve entity config: %s","Varlık ayarı alınamadı : %s"
"Cancel","İptal"
"Cannot complete this operation from non-admin area.","Yönetim alanı dışından bu işlem yapılamaz."
"Card type does not match credit card number.","Kart türü kredi kartı numarasıyla eşleşmiyor."
"Code","Kod"
"Controller file was loaded but class does not exist","Kontrol dosyası yüklendi fakat sınıf bulunamıyor"
"Cookie Domain","Çerez Domaini"
"Cookie Lifetime","Çerez Ömrü"
"Cookie Path","Çerez yolu"
"Cookie Restriction Mode","Web Çerezi Kısıtlama Modu"
"Copyright","Telif Hakkı"
"Country","Ülke"
"Create Store","Mağaza Oluştur"
"Create Store View","Mağaza Görünümü Oluştur"
"Create Website","Websitesi Oluştur"
"Credit card number does not match credit card type.","Kredi kartı numarası kredi kartı türüne uymuyor."
"Custom Admin Path","Özel Yönetim Adresi"
"Custom Admin URL","Yönetim Sayfası için Özel URL"
"Custom Design","Özel tasarım"
"Custom Email 1","Özel Email 1"
"Custom Email 2","Özel Email 2"
"Custom Variables","Özel değişkenler"
"Customer Support","Müşteri Desteği"
"Dashboard","Panel"
"Date From","Başlangıç Tarihi"
"Date To","Son Tarih"
