"* Required Fields","* Обов'язкові поля"
"-- Select --","-- Виберіть --"
"Add New Option","Додати нову опцію"
"As Low as","Починаючи з"
"As low as","Починаючи з"
"Bundle Items","Позиції комплекту"
"Checkbox","Прапорець"
"Choose a selection...","Вибрати добірку..."
"Click for price","Клацніть, щоб дізнатись ціну"
"Close","Закрити"
"Default","За промовчанням"
"Default Title","Заголовок за промовчанням"
"Drop-down","Випадаючий"
"Dynamic","Динамічна"
"Excl. Tax","Викл. податки"
"Fixed","Фіксована"
"From","Від"
"From:","Від:"
"Gift Message","Подарункове повідомлення"
"Incl. Tax","З податками"
"Input Type","Тип вводу"
"Message:","Повідомлення:"
"Multiple Select","Множинний вибір"
"N/A","Н/Д"
"No options of this product are available.","Немає доступних опцій цього товару."
"None","Жоден"
"Percent","Відсоток"
"Percent Discount","Відсоткова знижка"
"Please enter a number greater 0 in this field.","Будь ласка, введіть число, більше за 0 у це поле."
"Please specify product option(s).","Будь ласка, вкажіть опцію(ї) товару."
"Position","Позиція"
"Price Range","Ціновий діапазон"
"Price Type","Тип ціни"
"Qty:","Кількість:"
"Radio Buttons","Радіокнопки"
"SKU","Артикул"
"Separately","Порізно"
"Ship Bundle Items","Відправляти комплектні позиції"
"Shipment","Відвантаження"
"Store View Title","Заголовок виду магазину"
"To","До"
"To:","До:"
"Together","Разом"
"Use Default Value","Використовувати типове значення"
"and","та"
"save","зберегти"
