"Actions","Дії"
"Active","Активний"
"Add New Rule","Додати нове правило"
"Apply","Застосувати"
"Apply Rules","Застосувати правила"
"Attribute Set","Набір атрибутів"
"By Fixed Amount","До фіксованої суми"
"Catalog","Каталог"
"Catalog Price Rule","Правило цін каталога"
"Catalog Price Rules","Правила цін каталога"
"Category","Категорія"
"Conditions","Умови"
"Conditions (leave blank for all products)","Умови (залишіть поле незаповненим, для застосування до всіх товарів)"
"Conditions Combination","Умови комбінації"
"Customer Groups","Групи Покупців"
"Date Expire","Дата закінчення"
"Date From","Дата Від"
"Date Start","Дата початку"
"Date To","Дата До"
"Description","Опис"
"Discount Amount","Сума знижки"
"Edit Rule","Редагувати правило"
"Edit Rule '%s'","редагувати правило '%s'"
"Expiration Date","Дата Збігає"
"From Date","Дата початку"
"General Information","Загальна інформація"
"ID","Ідентифікатор"
"Inactive","Неактивний"
"New Rule","Нове правило"
"No","Ні"
"Options","Варіанти"
"Priority","Пріоритет"
"Product Attribute","Атрибут товару"
"Promotions","Заохочення"
"Rule Information","Інформація про правило"
"Rule Name","Назва правила"
"Save and Apply","Зберегти та Застосувати"
"Save and Continue Edit","Зберегти та Продовжити Редагування"
"Start Date","Дата початку"
"Status","Статус"
"This rule no longer exists.","Цього правила більше не існує."
"To Date","Дата закінчення"
"To Fixed Amount","До фіксованої суми"
"Type","Тип"
"Update product's %s %s: %s","Оновити  %s %s: %s товару"
"Website","Веб-сайт"
"Websites","Веб-сайти"
"Yes","Так"
