"%s Item(s)","%s шт."
"-- Please Select --","-- Виберіть --"
"About the calendar","Про календар"
"Account","Обліковий запис"
"All Pages","Всі сторінки"
"Allow","Дозволити"
"Close","Закрити"
"Close Window","Закрити вікно"
"Empty","Порожній"
"Go Today","Перейти на Сьогодні"
"Interface Language","Мова інтерфейсу"
"Items %s to %s of %s total","Товари від %s до %s з %s "
"Left Column","Ліва колонка"
"Menu","Меню"
"Next","Наступне"
"Page:","Сторінка:"
"Previous","Попереднє"
"Right Column","Права колонка"
"Search","Пошук"
"Select Store","Вибрати групу магазинів"
"Show","Показати"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Цей магазин є демо-версією. Будь-які замовлення зроблені через цей магазин не будуть враховані чи виконані."
"View All","Переглянути всі"
"Welcome, %s!","Ласкаво просимо, %s!"
"Your Language","Оберіть мову"
"per page","на сторінці"
