"ALL","ВСІ"
"ANY","БУДЬ-ЯКІ"
"Add","Додати"
"Apply","Застосувати"
"Conditions Combination","Умови комбінації"
"FALSE","НЕ СПРАВДЖУЮТЬСя"
"If %s of these conditions are %s:","Якщо %s з цих умов %s:"
"Open Chooser","Вибрати"
"Perform following actions","Виконати наступні дії"
"Please choose a condition to add...","Будь-ласка, виберіть умову для додавання..."
"Please choose an action to add...","Будь-ласка, виберіть дію для додавання..."
"Remove","Вилучити"
"TRUE","СПРАВДЖУЮТЬСя"
"by","до"
"is","є"
"is not","відсутній"
"to","до"
