"Attributes","Xususiyatlar"
"Back","Orqaga"
"Catalog","Katalog"
"City","Shahar"
"Country","Mamlakat"
"Customer","Xaridor"
"Delete","O‘chirish"
"Discount","Chegirma"
"Discount Amount","Chegirma miqdori"
"Edit","Tahrirlash"
"Exclude","Istisno"
"First Name","Ism"
"Gift Message","Sovg'a xabarlari"
"Guest","Mehmon"
"Last Name","Familiya"
"Order","Buyurtma"
"Order ID","Buyurtma ID"
"Order Status","Buyurtma holati"
"Orders","Buyurtmalar"
"Payment Method","To'lov uslubi"
"Position","Obyekt"
"Price","Narx"
"Product","Mahsulot"
"Qty","Soni"
"Save","Saqlash"
"Shipping Method","Yetkazib berish turi"
"Store Name","Do'kon nomi"
"Subtotal","Jami summ"
"System","Tizim"
"Type","Turi"
"ZIP/Postal Code","Pochta indeksi"
