"-- Please select --","--Vui lòng chọn--"
"Allowed Currencies","Cho phép các loại tiền tệ"
"Base Currency","Tiền tệ cơ sở"
"Connection Timeout in Seconds","Thời gian chờ kết nối trong vài giây"
"Country","Quốc gia"
"Country and Format Type combination should be unique","Kết hợp nước và các loại định dạng nên là duy nhất"
"Currency","Ngoại tệ"
"Currency Options","Lựa chọn tiền tệ"
"Currency Setup","Thiết lập tiền tệ"
"Currency Update Warnings","Cảnh báo cập nhật tiền tệ"
"Default Display Currency","Mặc định Hiển thị tiền tệ"
"Enabled","Cho phép"
"Error Email Recipient","Lỗi Email người nhận"
"Error Email Sender","Lỗi Email người gửi"
"Error Email Template","Lỗi Email mẫu"
"FATAL ERROR:","LỖI NGHIÊM TRỌNG:"
"Frequency","Tần Suất"
"Installed Currencies","Cài đặt các loại tiền tệ"
"Scheduled Import Settings","Thiết đặt chuyển nhập dự kiến"
"Service","Dịch vụ"
"Start Time","Thời Gian Bắt Đầu"
"State/Province","Bang/tỉnh"
"WARNING:","Cảnh báo:"
