"Abandoned Carts","Giỏ hàng bị bỏ rơi"
"Abandoned carts","Giỏ hàng bị bỏ rơi"
"Action","Thao tác"
"Add to Cart","Thêm vào giỏ hàng"
"Add to Compare","Thêm vào so sánh"
"Add to Wishlist","Thêm vào danh sách yêu thích"
"Any","Bất kỳ"
"Applied Coupon","Áp dụng các phiếu giảm giá"
"Are you sure?","Bạn chắc chứ?"
"Bestsellers","Sản phẩm bán chạy nhất"
"Carts","Giỏ hàng"
"Compared Products Grid Template","Mẫu lưới các sản phẩm đã so sánh"
"Compared Products List Template","Mẫu danh sách các sản phẩm đã so sánh"
"Coupons","Phiếu giảm giá"
"Coupons Usage Report","Báo cáo Phiếu giảm giá sử dụng"
"Created At","Đã tạo vào"
"Current Month Starts","Bắt đầu Tháng hiện tại"
"Customer","Khách hàng"
"Customer Name","Tên khách hàng"
"Customers","Khách hàng"
"Customers Report","Báo cáo khách hàng"
"Customers Reviews","Khách hàng đánh giá"
"Customers by Number of Orders","Khách hàng bằng số lượng đơn đặt hàng"
"Customers by Orders Total","Khách hàng theo tổng cộng đơn đặt hàng"
"Customers by number of orders","Khách hàng bằng số lượng đơn đặt hàng"
"Dashboard","Bảng điều khiển"
"Day","Ngày"
"Default Recently Compared Products Count","Thứ tự sản phẩm so sánh gần đây Mặc định"
"Default Recently Viewed Products Count","Mặc định tính số lượng sản phẩm mới xem"
"Description","Mô tả"
"Detail","Chi tiết"
"Downloads","Tải về"
"Empty Rows","Hàng trống"
"Filter","Bộ lọc"
"First Name","Tên"
"From","Từ"
"General","Chung"
"Guest","Khách"
"Hits","Lượt truy cập"
"IP Address","Địa chỉ IP"
"Invoiced","Đã lập hoá đơn"
"Items in Cart","Sản phẩm trong giỏ"
"Last Name","Họ"
"Last Review","Nhận xét cuối cùng"
"Link","Liên kết"
"List of Products Recently Viewed by Visitor","Danh sách các sản phẩm mới xem bởi khách truy cập"
"Low Stock","Còn ít hàng"
"Low stock","Còn ít hàng"
"Month","Tháng"
"Most Viewed","Được xem nhiều nhất"
"Name","Tên"
"New Accounts","Tài khoản mới"
"No","Không"
"Number of Items","Số lượng sản phẩm"
"Number of Products to display","Số lượng sản phẩm để hiển thị"
"Order Status","Tình trạng đơn hàng"
"Order Taxes Report Grouped by Tax Rate","Thứ tự báo cáo thuế được nhóm lại theo mức thuế suất"
"Orders","Đơn hàng"
"Out of stock","Tạm hết hàng"
"Period","Thời gian"
"Price","Giá"
"Product Name","Tên sản phẩm"
"Product Reviews","Đánh giá sản phẩm"
"Products","Các sản phẩm"
"Products Ordered","Sản phẩm đặt hàng"
"Products Report","Báo cáo sản phẩm"
"Products Reviews","Đánh giá sản phẩm"
"Products in carts","Sản phẩm trong giỏ hàng"
"Purchases","Mua hàng"
"Recently Compared","So sánh gần đây"
"Recently Compared Products","Các sản phẩm so sánh gần đây"
"Recently Viewed","Xem gần đây"
"Recently Viewed Products","Các sản phẩm xem gần đây"
"Recently Viewed/Compared Products","Mới xem/so sánh sản phẩm"
"Refresh Lifetime Statistics","Làm mới đời sống số liệu thống kê"
"Refresh Statistics","Làm mới các số liệu thống kê"
"Refresh Statistics for the Last Day","Làm mới các số liệu thống kê cho ngày cuối cùng"
"Refunds","Hoàn lại tiền"
"Report","Báo cáo"
"Reports","Báo cáo"
"Results","Kết quả"
"Revenue","Doanh thu"
"Review","Đánh giá"
"Reviews","Các đánh giá"
"Sales","Doanh số"
"Sales Report","Báo cáo doanh số"
"Search Query","Truy vấn tìm kiếm"
"Search Terms","Cụm từ tìm kiếm"
"Select day of the month.","Chọn ngày tháng."
"Shipping","Vận chuyển"
"Shopping Cart","Giỏ mua hàng"
"Show Actual Values","Hiển thị giá trị thực tế"
"Show Report","Hiển thị báo cáo"
"Show for Current","Hiển thị đối với hiện tại"
"Specified","Quy định"
"Statistics","Thống kê"
"Subtotal","Tổng phụ"
"Tax","Thuế"
"Title","Tiêu đề"
"To","Đến"
"Total","Tổng"
"Total Invoiced vs. Paid Report","Tổng số lập hoá đơn so với báo cáo thanh toán"
"Total Ordered Report","Báo cáo tổng đơn hàng"
"Total Refunded Report","Báo cáo Tổng số trả lại"
"Total Shipped Report","Báo cáo Tổng vận chuyển"
"Updated At","Cập nhật lúc"
"Viewed Products Grid Template","Mẫu lưới các sản phẩm đã xem"
"Viewed Products List Template","Mẫu danh sách các sản phẩm đã xem"
"Year","Năm"
"Year-To-Date Starts","Bắt đầu năm đến ngày"
"Yes","Có"
