"* Required Fields","* 為必填項"
"-- Select --","-請選擇-"
"Add New Option","添加新選項"
"As Low as","低至"
"As low as","低至"
"Bundle Items","捆綁項目"
"Checkbox","選取方塊"
"Choose a selection...","選擇一個選項。"
"Click for price","點擊看價格"
"Close","關閉"
"Default","預設"
"Default Title","預設標題"
"Drop-down","下拉"
"Dynamic","動態"
"Excl. Tax","不含稅"
"Fixed","已修復"
"From","由"
"From:","從："
"Gift Message","禮物信息"
"Incl. Tax","含稅"
"Input Type","輸入類型"
"Message:","訊息： "
"Multiple Select","選擇多個"
"N/A","不適用 "
"No options of this product are available.","沒有這種產品可用的選項。"
"None","無"
"Percent","%"
"Percent Discount","折扣率"
"Please specify product option(s).","請指定產品選項。"
"Position","位置"
"Price Range","價格範圍"
"Price Type","價格類型"
"Radio Buttons","單選按鈕"
"SKU","商品編號"
"Separately","分開"
"Ship Bundle Items","寄送捆綁項目"
"Shipment","裝運"
"Store View Title","商店總覽標題"
"To","至"
"To:","至： "
"Together","一起"
"Use Default Value","使用預設值"
"and","和"
