"# of Use","使用次數"
"%s Item(s)","%s件商品"
"(Copy data from: %s)","(複製數據自: %s) "
"* Required Fields","* 為必填項"
"-- Please Select --","-- 請選擇 --"
"A group with the same name already exists.","具有相同名稱的組已存在。"
"A name is required","名字必填"
"ALL GROUPS","所有群組"
"AM","上午"
"Action","操作"
"Add Attribute","添加產品屬性"
"Add Design Change","新增設計修正"
"Add Group","添加群組"
"Add New","新增"
"Add New Attribute","添加新的屬性"
"Add New Attribute Set","增加新屬性組合"
"Add New Group","添加新的群組"
"Add New Images","添加新圖片"
"Add New Option","添加新選項"
"Add New Row","添加新行"
"Add New Search Term","添加新的搜索"
"Add New Set","增加新組合"
"Add Product","新增商品"
"Add Root Category","添加根類別"
"Add Subcategory","添加子類別"
"Add Tax","新增稅項"
"Add Tier","增加層次"
"Add to Cart","加到購物車"
"Add to Compare","加入比較"
"Add to Wishlist","加入願望清單中"
"Additional Information","附加信息"
"All","全部"
"All Product Types","所有商品類型"
"All Websites","所有網站"
"All products","全部產品"
"Amount","金額"
"Apply To","應用於"
"Approved","已批准"
"Are you sure you want to delete this category?","是否確實要刪除此類別？"
"Are you sure?","是否確認?"
"As low as:","低至： "
"Associated Products","相關商品"
"Attrib. Set Name","屬性組合名稱"
"Attribute Information","屬性信息"
"Attribute Model","屬性型號"
"Attribute Name:","屬性名稱： "
"Attribute Set","屬性集"
"Attribute with the same code already exists","屬性代碼已存在"
"Attributes","屬性"
"Autogenerate","自動生成"
"Availability:","庫存:"
"Back","上一步"
"Backend Model","後台型號"
"Backend Table","後台表"
"Backend Table Title","後台表標題"
"Backorders","缺貨訂單"
"Based On","根據"
"Best Value","超值"
"Bottom/Left","左下"
"Bottom/Right","右下"
"Browse By","查看"
"Bundle Items","捆綁項目"
"Can be used only with catalog input type Dropdown","僅用於目錄下拉菜單"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","僅用於目錄下拉菜單、多重選擇和價格"
"Cancel","取消"
"Cart Item Attribute","購物車商品屬性"
"Catalog","目錄"
"Catalog Price Scope","目錄價格範圍"
"Catalog, Search","目錄，搜索"
"Categories","分類"
"Category","類別"
"Category Data","分類數據"
"Category Products","分類商品"
"Category move error","移動分類出錯"
"Center","中心"
"Change","更改 "
"Change status","修改狀態"
"Choose an Option...","選擇選項... "
"Clear All","全部清除"
"Clear Price","明確價格"
"Click for price","點擊看價格"
"Close Window","關閉窗口"
"Comparable","可比較"
"Comparable on Front-end","可在前台比較"
"Compare","比較"
"Conditions Combination","條件組合"
"Configurable Product","可設置商品"
"Configurable Product Settings","可設置商品的設置"
"Continue","繼續"
"Copy From Configurable","從可設置複製"
"Create Empty","創建空"
"Create Permanent Redirect for old URL","tcpu. idv. tw/shoppingcar"
"Create Product Settings","創建商品設置"
"Create Simple Associated Product","創建簡單相關商品"
"Cross-sells","交叉銷售"
"Custom Design","自訂設計"
"Customer Group","客戶組"
"Customers Reviews","客戶評論"
"Customers Tagged Product","客戶標籤商品"
