"%s Item(s)","%s件商品"
"(ver. %s)","(版本%s) "
"-- Please Select --","-- 請選擇 --"
"About the calendar","關於日曆"
"Close","關閉"
"Close Window","關閉窗口"
"Empty","空白"
"Go Today","今天去"
"Help Us to Keep Magento Healthy","幫助我們改善OpenMage "
"Interface Language","界面語言"
"Items %s to %s of %s total","商品%s到%s，共%s件"
"Next","下一頁"
"Page:","頁： "
"Previous","上一頁"
"Report All Bugs","報告所有錯誤"
"Search","搜尋"
"Select Store","選擇商店"
"Show","顯示"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","這是演示商店，所有訂單都不會發貨。 "
"View All","查看全部"
"Welcome, %s!","歡迎您，%s! "
"Your Language","請選擇您的語言"
"Your Language:","請選擇您的語言:"
"per page","每頁"
