"# of Items (and above)","商品件數(及以上) "
"# of Items vs. Destination","商品件數:目的地"
"Calculate Handling Fee","計算手續費"
"Carrier:","配送公司: "
"City","城市"
"Close Window","關閉窗口"
"Condition","條件"
"Country","國家"
"Custom Value","自定義值"
"Date","日期"
"Delivered on:","交貨日期： "
"Delivered to:","收貨人： "
"Description","描述"
"Displayed Error Message","顯示錯誤信息"
"Enabled","啟用"
"Error:","錯誤： "
"Export","匯出"
"Fixed","已修復"
"Flat Rate","固定運費"
"Handling Fee","手續費"
"Import","匯入"
"Info:","內容： "
"Invalid Table Rate code for type %s: %s","類型%s: %s的表運費代碼不正確"
"Invalid Table Rate code type: %s","類型：%s的表運費代碼不正確"
"Invalid Table Rates File Format","表運費文件格式不正確"
"Local Time","本地時間"
"Location","位置"
"N/A","不適用 "
"None","無"
"Options","選項"
"Order Subtotal (and above)","訂單小計(及以上) "
"Origin","Origin "
"Per Order","每訂單"
"Per Package","每包裹"
"Percent","%"
"Price","價格"
"Price vs. Destination","價格:目的地"
"Region/State","地區／國家"
"Service Type:","服務類型： "
"Shipment #","運單號"
"Shipped or billed on:","發貨或賬單日期： "
"Shipping Methods","配送方式"
"Shipping Settings","配送設置"
"Signed by:","簽字： "
"Sort Order","訂單排序"
"Status:","狀態： "
"Store Pickup","上門取貨"
"Street Address","首行地址"
"Street Address Line 2","次行地址"
"There is no tracking available for this shipment.","無法查詢該配送。 "
"There is no tracking available.","無法查詢該配送。 "
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","該配送方式目前不能用。如果您希望使用該配送，請聯繫我們。 "
"Title","標題"
"Track:","查詢： "
"Tracking Number:","查詢號： "
"Tracking information is currently not available. Please ","查詢信息現在不可用，請稍後再試。 "
"Tracking information is currently unavailable.","查詢信息現在不可用。 "
"Type","類別"
"Weight (and above)","重量(及以上) "
"Weight vs. Destination","重量:目的地"
"Weight:","重量： "
"ZIP/Postal Code","郵遞區號"
"contact us","聯繫我們"
