"Action","操作"
"Add Sitemap","增加網站地圖"
"Always","一律"
"CMS Pages Options","CMS頁面選項"
"Categories Options","分類選項"
"Daily","每天"
"Edit Sitemap","修改網站地圖"
"Enabled","啟用"
"Error Email Recipient","錯誤郵件的收件人"
"Error Email Sender","錯誤郵件的發件人"
"Error Email Template","錯誤郵件的模板"
"Filename","檔案名稱"
"Frequency","頻率"
"Generation Settings","基本設置"
"Google Sitemap","Google網站地圖"
"Hourly","每小時"
"ID","編號"
"Last Time Generated","最後生成時間"
"Link for Google","Google鏈接"
"Monthly","每月"
"Never","從不"
"New Sitemap","新建網站地圖"
"Path","路徑"
"Priority","優先級"
"Products Options","商品選項"
"Sitemap generate Warnings","生成網站地圖時的警告"
"Start Time","開始時間"
"Store View","店面"
"Weekly","每週"
"Yearly","每年"
